p_height,p_x_speed,p_y_speed,p_z_speed,p_pitch,p_roll,p_yaw,p_temperature,p_flight_time,p_battery,p_mp_distance_x,p_mp_distance_y,p_mp_distance_z,frame.len,wlan.duration,wlan.ra,wlan.ta,wlan.da,wlan.sa,wlan.bssid,wlan.frag,wlan.seq,wlan.fc.type,wlan.fc.subtype,data.len,class
100,0,0,0,0,-1,0,66.0,35,67,-1,-22,106,24,0,1,1,1,1,0,0,22,2,4,0,Replay
100,0,0,0,0,0,0,66.0,36,67,-2,-20,111,104,0,6,1,6,1,0,0,54,0,8,0,Replay
100,0,0,0,0,0,0,66.0,36,67,-2,-20,111,98,320,2,1,2,1,0,0,104,0,5,0,Replay
100,0,0,0,0,0,0,66.0,36,67,-2,-20,111,98,320,2,1,2,1,0,0,104,0,5,0,Replay
100,0,0,0,0,0,0,66.0,36,67,-2,-20,111,98,320,2,1,2,1,0,0,104,0,5,0,Replay
100,0,0,0,0,0,0,66.0,36,67,-2,-20,111,98,320,2,1,2,1,0,0,105,0,5,0,Replay
100,0,0,0,0,0,0,66.0,36,67,-2,-20,111,98,320,2,1,2,1,0,0,106,0,5,0,Replay
100,0,0,0,0,0,0,66.0,36,67,-2,-20,111,98,320,3,1,3,1,0,0,111,0,5,0,Replay
100,0,0,0,0,0,0,66.0,36,67,-2,-20,111,98,320,3,1,3,1,0,0,111,0,5,0,Replay
100,0,0,0,0,0,0,66.0,36,67,-2,-20,111,98,320,3,1,3,1,0,0,111,0,5,0,Replay
100,0,0,0,0,0,0,66.0,36,67,-2,-20,111,98,320,3,1,3,1,0,0,112,0,5,0,Replay
100,0,0,0,0,0,0,66.0,36,67,-2,-20,111,98,320,3,1,3,1,0,0,112,0,5,0,Replay
100,0,0,0,0,0,0,66.0,36,67,-2,-20,111,98,320,3,1,3,1,0,0,112,0,5,0,Replay
100,0,0,1,0,-1,0,67.0,36,67,-3,-21,106,98,320,3,1,3,1,0,0,113,0,5,0,Replay
100,0,0,1,0,-1,0,67.0,36,67,-3,-21,106,98,320,3,1,3,1,0,0,115,0,5,0,Replay
100,0,0,1,0,-1,0,67.0,36,67,-3,-21,106,98,320,3,1,3,1,0,0,116,0,5,0,Replay
100,0,0,1,0,-1,0,67.0,36,67,-3,-21,106,26,162,1,2,1,2,0,0,0,2,12,0,Replay
100,0,0,1,0,-1,0,67.0,36,67,-3,-21,106,26,162,1,2,1,2,0,0,0,2,12,0,Replay
100,0,0,1,0,-1,0,67.0,36,67,-3,-21,106,26,162,1,2,1,2,0,0,0,2,12,0,Replay
100,0,0,1,0,-1,0,67.0,36,67,-3,-21,106,26,162,1,2,1,2,0,0,0,2,12,0,Replay
100,0,0,1,0,-1,0,67.0,36,67,-3,-21,106,26,162,1,2,1,2,0,0,0,2,12,0,Replay
100,0,0,1,0,-1,0,67.0,36,67,-3,-21,106,26,162,1,2,1,2,0,0,0,2,12,0,Replay
100,0,0,1,0,-1,0,67.0,36,67,-3,-21,106,26,162,1,2,1,2,0,0,0,2,12,0,Replay
100,0,0,1,0,-1,0,67.0,36,67,-3,-21,106,26,162,1,2,1,2,0,0,0,2,12,0,Replay
100,0,0,1,0,-1,0,67.0,36,67,-3,-21,106,26,162,1,2,1,2,0,0,0,2,12,0,Replay
90,0,0,1,0,0,0,67.0,37,67,-2,-25,96,26,162,1,2,1,2,0,0,0,2,12,0,Replay
90,0,0,1,0,0,0,67.0,37,67,-2,-25,96,26,162,1,2,1,2,0,0,0,2,12,0,Replay
90,0,0,1,0,0,0,67.0,37,67,-2,-25,96,26,162,1,2,1,2,0,0,0,2,12,0,Replay
90,0,0,1,0,0,0,67.0,37,67,-2,-25,96,62,44,0,1,0,1,0,0,0,2,8,0,Replay
90,0,0,1,0,0,0,67.0,37,67,-2,-25,96,62,44,0,1,0,1,0,0,0,2,8,0,Replay
90,0,0,1,0,0,0,67.0,37,67,-2,-25,96,26,60,1,0,1,0,0,0,0,2,12,0,Replay
90,0,0,1,0,0,0,67.0,37,67,-2,-25,96,26,162,1,2,1,2,0,0,0,2,12,0,Replay
90,0,0,1,0,0,0,67.0,37,67,-2,-25,96,26,162,1,2,1,2,0,0,0,2,12,0,Replay
90,0,0,1,0,0,0,67.0,37,67,-2,-25,96,26,60,1,0,1,0,0,0,0,2,12,0,Replay
90,0,0,1,0,0,0,67.0,37,67,-2,-25,96,26,162,1,2,1,2,0,0,0,2,12,0,Replay
90,0,0,1,0,0,0,67.0,37,67,-2,-25,96,26,162,1,2,1,2,0,0,0,2,12,0,Replay
90,0,0,1,0,0,0,67.0,37,67,-2,-25,96,26,162,1,2,1,2,0,0,0,2,12,0,Replay
80,0,0,1,0,-1,0,66.0,37,67,-5,-25,90,26,162,1,2,1,2,0,0,0,2,12,0,Replay
80,0,0,1,0,-1,0,66.0,37,67,-5,-25,90,98,320,5,1,5,1,0,0,188,0,5,0,Replay
80,0,0,1,0,-1,0,66.0,37,67,-5,-25,90,98,320,5,1,5,1,0,0,189,0,5,0,Replay
80,0,0,1,0,-1,0,66.0,37,67,-5,-25,90,26,162,1,2,1,2,0,0,0,2,12,0,Replay
80,0,0,1,0,-1,0,66.0,37,67,-5,-25,90,234,44,0,1,0,1,0,0,5,2,8,172,Replay
80,0,0,1,0,-1,0,66.0,37,67,-5,-25,90,75,44,0,1,0,1,0,0,6,2,8,13,Replay
80,0,0,1,0,-1,0,66.0,37,67,-5,-25,90,26,60,1,0,1,0,0,0,0,2,12,0,Replay
80,0,0,1,0,-1,0,66.0,37,67,-5,-25,90,26,162,1,2,1,2,0,0,0,2,12,0,Replay
80,0,0,1,0,-1,0,66.0,37,67,-5,-25,90,86,44,1,0,1,0,0,0,61,2,8,0,Replay
80,0,0,1,0,-1,0,66.0,37,67,-5,-25,90,235,44,0,1,0,1,0,0,7,2,8,173,Replay
80,0,0,1,0,-1,0,66.0,37,67,-5,-25,90,65,44,1,0,1,0,0,0,62,2,8,3,Replay
80,0,0,1,0,-1,0,66.0,37,67,-5,-25,90,26,60,1,0,1,0,0,0,0,2,12,0,Replay
80,0,0,0,0,-1,0,66.0,38,67,-4,-26,84,26,162,1,2,1,2,0,0,0,2,12,0,Replay
80,0,0,0,0,-1,0,66.0,38,67,-4,-26,84,64,44,0,1,0,1,0,0,8,2,8,2,Replay
80,0,0,0,0,-1,0,66.0,38,67,-4,-26,84,26,162,1,2,1,2,0,0,0,2,12,0,Replay
80,0,0,0,0,-1,0,66.0,38,67,-4,-26,84,98,320,4,1,4,1,0,0,209,0,5,0,Replay
80,0,0,0,0,-1,0,66.0,38,67,-4,-26,84,98,320,4,1,4,1,0,0,210,0,5,0,Replay
80,0,0,0,0,-1,0,66.0,38,67,-4,-26,84,26,162,1,2,1,2,0,0,0,2,12,0,Replay
80,0,0,0,0,-1,0,66.0,38,67,-4,-26,84,98,320,4,1,4,1,0,0,212,0,5,0,Replay
80,0,0,0,0,-1,0,66.0,38,67,-4,-26,84,98,320,4,1,4,1,0,0,212,0,5,0,Replay
80,0,0,0,0,-1,0,66.0,38,67,-4,-26,84,26,162,1,2,1,2,0,0,0,2,12,0,Replay
80,0,0,0,0,-1,0,66.0,38,67,-4,-26,84,26,162,1,2,1,2,0,0,0,2,12,0,Replay
80,0,0,0,0,-1,0,66.0,38,67,-4,-26,84,229,320,0,1,0,1,0,0,37,2,8,167,Replay
80,0,0,0,0,-1,0,66.0,38,67,-4,-26,84,229,320,0,1,0,1,0,0,37,2,8,167,Replay
80,0,-1,0,-1,-3,0,67.0,38,67,-4,-27,79,229,320,0,1,0,1,0,0,37,2,8,167,Replay
80,0,-1,0,-1,-3,0,67.0,38,67,-4,-27,79,26,162,1,2,1,2,0,0,0,2,12,0,Replay
80,0,-1,0,-1,-3,0,67.0,38,67,-4,-27,79,26,162,1,2,1,2,0,0,0,2,12,0,Replay
80,0,-1,0,-1,-3,0,67.0,38,67,-4,-27,79,26,60,1,0,1,0,0,0,0,2,12,0,Replay
80,0,-1,0,-1,-3,0,67.0,38,67,-4,-27,79,26,162,1,2,1,2,0,0,0,2,12,0,Replay
80,0,-1,0,-1,-3,0,67.0,38,67,-4,-27,79,230,44,0,1,0,1,0,0,51,2,8,168,Replay
80,0,-1,0,-1,-3,0,67.0,38,67,-4,-27,79,229,44,0,1,0,1,0,0,52,2,8,167,Replay
80,0,-1,0,-1,-3,0,67.0,38,67,-4,-27,79,26,60,1,0,1,0,0,0,0,2,12,0,Replay
80,0,-1,0,-1,-3,0,67.0,38,67,-4,-27,79,26,162,1,2,1,2,0,0,0,2,12,0,Replay
80,0,-1,0,-1,-3,0,67.0,38,67,-4,-27,79,229,44,0,1,0,1,0,0,52,2,8,167,Replay
80,0,-1,0,-1,-3,0,67.0,38,67,-4,-27,79,86,44,1,0,1,0,0,0,89,2,8,0,Replay
80,0,-1,0,-1,-3,0,67.0,38,67,-4,-27,79,26,162,1,2,1,2,0,0,0,2,12,0,Replay
70,0,-1,0,0,0,0,67.0,39,67,-3,-15,80,26,162,1,2,1,2,0,0,0,2,12,0,Replay
70,0,-1,0,0,0,0,67.0,39,67,-3,-15,80,26,162,1,2,1,2,0,0,0,2,12,0,Replay
70,0,-1,0,0,0,0,67.0,39,67,-3,-15,80,26,162,1,2,1,2,0,0,0,2,12,0,Replay
70,0,-1,0,0,0,0,67.0,39,67,-3,-15,80,26,162,1,2,1,2,0,0,0,2,12,0,Replay
70,0,-1,0,0,0,0,67.0,39,67,-3,-15,80,26,162,1,2,1,2,0,0,0,2,12,0,Replay
70,0,-1,0,0,0,0,67.0,39,67,-3,-15,80,26,162,1,2,1,2,0,0,0,2,12,0,Replay
70,0,-1,0,0,0,0,67.0,39,67,-3,-15,80,26,162,1,2,1,2,0,0,0,2,12,0,Replay
70,0,-1,0,0,0,0,67.0,39,67,-3,-15,80,26,162,1,2,1,2,0,0,0,2,12,0,Replay
70,0,-1,0,0,0,0,67.0,39,67,-3,-15,80,26,60,1,0,1,0,0,0,0,2,12,0,Replay
70,0,-1,0,0,0,0,67.0,39,67,-3,-15,80,26,162,1,2,1,2,0,0,0,2,12,0,Replay
70,0,-1,0,0,0,0,67.0,39,67,-3,-15,80,229,44,0,1,0,1,0,0,95,2,8,167,Replay
70,0,-1,0,0,0,0,67.0,39,67,-3,-15,80,26,60,1,0,1,0,0,0,0,2,12,0,Replay
70,0,-1,0,0,-1,0,67.0,39,67,-4,-13,80,26,162,1,2,1,2,0,0,0,2,12,0,Replay
70,0,-1,0,0,-1,0,67.0,39,67,-4,-13,80,86,44,1,0,1,0,0,0,107,2,8,0,Replay
70,0,-1,0,0,-1,0,67.0,39,67,-4,-13,80,228,44,0,1,0,1,0,0,96,2,8,166,Replay
70,0,-1,0,0,-1,0,67.0,39,67,-4,-13,80,26,162,1,2,1,2,0,0,0,2,12,0,Replay
70,0,-1,0,0,-1,0,67.0,39,67,-4,-13,80,26,60,1,0,1,0,0,0,0,2,12,0,Replay
70,0,-1,0,0,-1,0,67.0,39,67,-4,-13,80,26,162,1,2,1,2,0,0,0,2,12,0,Replay
70,0,-1,0,0,-1,0,67.0,39,67,-4,-13,80,26,162,1,2,1,2,0,0,0,2,12,0,Replay
70,0,-1,0,0,-1,0,67.0,39,67,-4,-13,80,26,162,1,2,1,2,0,0,0,2,12,0,Replay
70,0,-1,0,0,-1,0,67.0,39,67,-4,-13,80,26,162,1,2,1,2,0,0,0,2,12,0,Replay
70,0,-1,0,0,-1,0,67.0,39,67,-4,-13,80,26,162,1,2,1,2,0,0,0,2,12,0,Replay
70,0,-1,0,0,-1,0,67.0,39,67,-4,-13,80,26,162,1,2,1,2,0,0,0,2,12,0,Replay
70,0,-1,0,0,-1,0,67.0,39,67,-4,-13,80,26,162,1,2,1,2,0,0,0,2,12,0,Replay
70,0,-1,0,0,-1,0,67.0,40,67,-2,-9,81,26,162,1,2,1,2,0,0,0,2,12,0,Replay
70,0,-1,0,0,-1,0,67.0,40,67,-2,-9,81,26,162,1,2,1,2,0,0,0,2,12,0,Replay
70,0,-1,0,0,-1,0,67.0,40,67,-2,-9,81,26,162,1,2,1,2,0,0,0,2,12,0,Replay
70,0,-1,0,0,-1,0,67.0,40,67,-2,-9,81,75,44,0,1,0,1,0,0,137,2,8,13,Replay
70,0,-1,0,0,-1,0,67.0,40,67,-2,-9,81,230,44,0,1,0,1,0,0,138,2,8,168,Replay
70,0,-1,0,0,-1,0,67.0,40,67,-2,-9,81,26,60,1,0,1,0,0,0,0,2,12,0,Replay
70,0,-1,0,0,-1,0,67.0,40,67,-2,-9,81,26,162,1,2,1,2,0,0,0,2,12,0,Replay
70,0,-1,0,0,-1,0,67.0,40,67,-2,-9,81,230,44,0,1,0,1,0,0,139,2,8,168,Replay
70,0,-1,0,0,-1,0,67.0,40,67,-2,-9,81,26,60,1,0,1,0,0,0,0,2,12,0,Replay
70,0,-1,0,0,-1,0,67.0,40,67,-2,-9,81,26,162,1,2,1,2,0,0,0,2,12,0,Replay
70,0,-1,0,0,-1,0,67.0,40,67,-2,-9,81,230,320,0,1,0,1,0,0,142,2,8,168,Replay
70,0,-1,0,0,-1,0,67.0,40,67,-2,-9,81,230,320,0,1,0,1,0,0,142,2,8,168,Replay
70,0,-1,0,0,0,0,67.0,40,67,-3,-5,82,26,162,1,2,1,2,0,0,0,2,12,0,Replay
70,0,-1,0,0,0,0,67.0,40,67,-3,-5,82,26,162,1,2,1,2,0,0,0,2,12,0,Replay
70,0,-1,0,0,0,0,67.0,40,67,-3,-5,82,26,162,1,2,1,2,0,0,0,2,12,0,Replay
70,0,-1,0,0,0,0,67.0,40,67,-3,-5,82,26,162,1,2,1,2,0,0,0,2,12,0,Replay
70,0,-1,0,0,0,0,67.0,40,67,-3,-5,82,26,162,1,2,1,2,0,0,0,2,12,0,Replay
70,0,-1,0,0,0,0,67.0,40,67,-3,-5,82,26,162,1,2,1,2,0,0,0,2,12,0,Replay
70,0,-1,0,0,0,0,67.0,40,67,-3,-5,82,26,162,1,2,1,2,0,0,0,2,12,0,Replay
70,0,-1,0,0,0,0,67.0,40,67,-3,-5,82,26,162,1,2,1,2,0,0,0,2,12,0,Replay
70,0,-1,0,0,0,0,67.0,40,67,-3,-5,82,26,162,1,2,1,2,0,0,0,2,12,0,Replay
70,0,-1,0,0,0,0,67.0,40,67,-3,-5,82,26,60,1,0,1,0,0,0,0,2,12,0,Replay
70,0,-1,0,0,0,0,67.0,40,67,-3,-5,82,236,44,0,1,0,1,0,0,181,2,8,174,Replay
70,0,-1,0,0,0,0,67.0,40,67,-3,-5,82,26,162,1,2,1,2,0,0,0,2,12,0,Replay
70,0,0,0,0,0,0,67.0,41,67,-3,-5,81,26,60,1,0,1,0,0,0,0,2,12,0,Replay
70,0,0,0,0,0,0,67.0,41,67,-3,-5,81,26,162,1,2,1,2,0,0,0,2,12,0,Replay
70,0,0,0,0,0,0,67.0,41,67,-3,-5,81,233,44,0,1,0,1,0,0,182,2,8,171,Replay
70,0,0,0,0,0,0,67.0,41,67,-3,-5,81,26,162,1,2,1,2,0,0,0,2,12,0,Replay
70,0,0,0,0,0,0,67.0,41,67,-3,-5,81,26,162,1,2,1,2,0,0,0,2,12,0,Replay
70,0,0,0,0,0,0,67.0,41,67,-3,-5,81,26,162,1,2,1,2,0,0,0,2,12,0,Replay
70,0,0,0,0,0,0,67.0,41,67,-3,-5,81,26,162,1,2,1,2,0,0,0,2,12,0,Replay
70,0,0,0,0,0,0,67.0,41,67,-3,-5,81,26,162,1,2,1,2,0,0,0,2,12,0,Replay
70,0,0,0,0,0,0,67.0,41,67,-3,-5,81,26,162,1,2,1,2,0,0,0,2,12,0,Replay
70,0,0,0,0,0,0,67.0,41,67,-3,-5,81,26,162,1,2,1,2,0,0,0,2,12,0,Replay
70,0,0,0,0,0,0,67.0,41,67,-3,-5,81,232,320,0,1,0,1,0,0,217,2,8,170,Replay
70,0,0,0,0,0,0,67.0,41,67,-3,-5,81,26,162,1,2,1,2,0,0,0,2,12,0,Replay
70,4,0,0,-1,0,0,67.0,41,67,3,-8,81,26,162,1,2,1,2,0,0,0,2,12,0,Replay
70,4,0,0,-1,0,0,67.0,41,67,3,-8,81,229,44,0,1,0,1,0,0,224,2,8,167,Replay
70,4,0,0,-1,0,0,67.0,41,67,3,-8,81,86,44,1,0,1,0,0,0,150,2,8,0,Replay
70,4,0,0,-1,0,0,67.0,41,67,3,-8,81,26,60,1,0,1,0,0,0,0,2,12,0,Replay
