p_height,p_x_speed,p_y_speed,p_z_speed,p_pitch,p_roll,p_yaw,p_temperature,p_flight_time,p_battery,p_mp_distance_x,p_mp_distance_y,p_mp_distance_z,frame.len,wlan.duration,wlan.ra,wlan.ta,wlan.da,wlan.sa,wlan.bssid,wlan.frag,wlan.seq,wlan.fc.type,wlan.fc.subtype,data.len,class
130,0,0,0,0,0,-173,63.0,82,57,11,-9,-998,296,44,1,0,0,1,0,0,68,2,8,217,evil_twin
130,0,0,0,0,0,-173,63.0,82,57,11,-9,-998,296,44,1,0,0,1,0,0,69,2,8,217,evil_twin
130,0,0,0,0,0,-173,63.0,82,57,7,-2,-1003,294,44,1,0,0,1,0,0,70,2,8,215,evil_twin
130,0,0,0,0,0,-173,63.0,82,57,7,-2,-1003,295,44,1,0,0,1,0,0,71,2,8,216,evil_twin
130,0,0,0,0,0,-173,63.0,82,57,-4,1,-993,294,44,1,0,0,1,0,0,72,2,8,215,evil_twin
130,0,0,0,0,0,-173,63.0,82,57,-4,1,-993,294,44,1,0,0,1,0,0,73,2,8,215,evil_twin
130,0,0,0,0,0,-173,63.0,82,57,4,-7,-1003,294,44,1,0,0,1,0,0,73,2,8,215,evil_twin
130,0,0,0,0,0,-173,63.0,82,57,4,-7,-1003,294,44,1,0,0,1,0,0,73,2,8,215,evil_twin
130,0,0,0,0,0,-173,63.0,82,57,2,1,-1007,294,44,1,0,0,1,0,0,73,2,8,215,evil_twin
130,0,0,0,0,0,-173,63.0,82,57,2,1,-1007,294,44,1,0,0,1,0,0,74,2,8,215,evil_twin
130,0,0,0,0,0,-173,63.0,82,57,4,-13,-984,293,44,1,0,0,1,0,0,75,2,8,214,evil_twin
130,0,0,0,0,0,-173,63.0,82,57,4,-13,-984,294,44,1,0,0,1,0,0,76,2,8,215,evil_twin
130,0,0,0,0,0,-173,62.5,82,57,0,2,-1008,294,44,1,0,0,1,0,0,77,2,8,215,evil_twin
130,0,0,0,0,0,-173,62.5,82,57,0,2,-1008,295,44,1,0,0,1,0,0,78,2,8,216,evil_twin
130,0,0,0,0,0,-173,62.5,82,57,0,2,-1008,296,44,1,0,0,1,0,0,79,2,8,217,evil_twin
130,0,0,0,0,0,-173,62.5,82,57,0,2,-1008,294,44,1,0,0,1,0,0,80,2,8,215,evil_twin
130,0,0,0,0,0,-173,62.5,82,57,11,3,-1015,295,44,1,0,0,1,0,0,81,2,8,216,evil_twin
130,0,0,0,0,0,-173,62.5,82,57,11,3,-1015,295,44,1,0,0,1,0,0,82,2,8,216,evil_twin
130,0,0,0,0,0,-173,62.5,82,57,-1,-1,-988,125,44,1,0,0,1,0,0,83,2,8,46,evil_twin
130,0,0,0,0,0,-173,62.5,82,57,-1,-1,-988,297,44,1,0,0,1,0,0,84,2,8,218,evil_twin
