p_height,p_x_speed,p_y_speed,p_z_speed,p_pitch,p_roll,p_yaw,p_temperature,p_flight_time,p_battery,p_mp_distance_x,p_mp_distance_y,p_mp_distance_z,frame.len,wlan.duration,wlan.ra,wlan.ta,wlan.da,wlan.sa,wlan.bssid,wlan.frag,wlan.seq,wlan.fc.type,wlan.fc.subtype,data.len,class
60,2,0,0,-2,-1,0,67.0,27,77,-43,25,79,86,44,1,0,1,0,0,0,63,2,8,0,Replay
60,2,0,0,-2,-1,0,67.0,27,77,-43,25,79,26,60,1,0,1,0,0,0,0,2,12,0,Replay
60,2,0,0,-2,-1,0,67.0,27,77,-43,25,79,231,44,0,1,0,1,0,0,582,2,8,169,Replay
60,2,0,0,-2,-1,0,67.0,27,77,-43,25,79,86,44,1,0,1,0,0,0,64,2,8,0,Replay
60,2,0,0,-2,-1,0,67.0,27,77,-43,25,79,26,60,1,0,1,0,0,0,0,2,12,0,Replay
60,2,0,0,-2,-1,0,67.0,27,77,-43,25,79,26,60,1,0,1,0,0,0,0,2,12,0,Replay
60,2,0,0,-2,-1,0,67.0,27,77,-43,25,79,86,44,1,0,1,0,0,0,65,2,8,0,Replay
60,2,0,0,-2,-1,0,67.0,27,77,-43,25,79,86,44,1,0,1,0,0,0,66,2,8,0,Replay
60,2,0,0,-2,-1,0,67.0,27,77,-43,25,79,86,44,1,0,1,0,0,0,67,2,8,0,Replay
60,2,0,0,-2,-1,0,67.0,27,77,-43,25,79,233,44,0,1,0,1,0,0,584,2,8,171,Replay
60,2,0,0,-2,-1,0,67.0,27,77,-43,25,79,86,44,1,0,1,0,0,0,68,2,8,0,Replay
60,2,0,0,-2,-1,0,67.0,27,77,-43,25,79,26,60,1,0,1,0,0,0,0,2,12,0,Replay
60,2,0,0,-2,-1,0,67.0,27,77,-43,25,79,86,44,1,0,1,0,0,0,69,2,8,0,Replay
60,2,0,0,-1,-1,0,67.0,28,77,-43,-9,81,86,44,1,0,1,0,0,0,71,2,8,0,Replay
60,2,0,0,-1,-1,0,67.0,28,77,-43,-9,81,231,44,0,1,0,1,0,0,585,2,8,169,Replay
60,2,0,0,-1,-1,0,67.0,28,77,-43,-9,81,26,60,1,0,1,0,0,0,0,2,12,0,Replay
60,2,0,0,-1,-1,0,67.0,28,77,-43,-9,81,86,44,1,0,1,0,0,0,77,2,8,0,Replay
60,2,0,0,-1,-1,0,67.0,28,77,-43,-9,81,86,44,1,0,1,0,0,0,78,2,8,0,Replay
60,2,0,0,-1,-1,0,67.0,28,77,-43,-9,81,86,44,1,0,1,0,0,0,79,2,8,0,Replay
60,2,0,0,-1,-1,0,67.0,28,77,-43,-9,81,232,44,0,1,0,1,0,0,586,2,8,170,Replay
60,2,0,0,-1,-1,0,67.0,28,77,-43,-9,81,86,44,1,0,1,0,0,0,80,2,8,0,Replay
60,2,0,0,-1,-1,0,67.0,28,77,-43,-9,81,26,60,1,0,1,0,0,0,0,2,12,0,Replay
60,2,0,0,-1,-1,0,67.0,28,77,-43,-9,81,75,44,0,1,0,1,0,0,587,2,8,13,Replay
60,2,0,0,-1,-1,0,67.0,28,77,-43,-9,81,233,44,0,1,0,1,0,0,588,2,8,171,Replay
60,2,0,0,-1,-1,0,67.0,28,77,-43,-9,81,26,314,0,1,0,1,0,0,1346,0,12,0,Replay
60,2,0,0,-1,-1,0,67.0,28,77,-43,-9,81,26,314,1,0,1,0,0,0,1347,0,12,0,Replay
60,1,-1,0,-1,-1,0,67.0,29,77,-33,2,81,26,314,0,1,0,1,0,0,1348,0,12,0,Replay
60,1,-1,0,-1,-1,0,67.0,29,77,-33,2,81,26,314,1,0,1,0,0,0,1349,0,12,0,Replay
