p_height,p_x_speed,p_y_speed,p_z_speed,p_pitch,p_roll,p_yaw,p_temperature,p_flight_time,p_battery,p_mp_distance_x,p_mp_distance_y,p_mp_distance_z,frame.len,wlan.duration,wlan.ra,wlan.ta,wlan.da,wlan.sa,wlan.bssid,wlan.frag,wlan.seq,wlan.fc.type,wlan.fc.subtype,data.len,class
80,0,0,0,0,0,0,68.0,7,65,-15,-5,86,24,0,1,1,1,1,0,0,24,2,4,0,NORMAL
80,0,0,0,0,0,0,68.0,7,65,-15,-5,86,24,0,1,1,1,1,0,0,26,2,4,0,NORMAL
80,0,0,0,0,0,0,68.0,7,65,-15,-5,86,104,0,4,1,4,1,0,0,49,0,8,0,NORMAL
80,0,0,0,0,0,0,68.0,7,65,-13,-6,86,86,44,1,0,1,0,0,0,14,2,8,0,NORMAL
80,0,0,0,0,0,0,68.0,7,65,-13,-6,86,26,60,1,0,1,0,0,0,0,2,12,0,NORMAL
80,0,0,0,0,0,0,68.0,7,65,-13,-6,86,26,60,1,0,1,0,0,0,0,2,12,0,NORMAL
80,0,0,0,0,0,0,68.0,8,65,-18,-6,85,86,44,1,0,1,0,0,0,16,2,8,0,NORMAL
80,0,0,0,0,0,0,68.0,8,65,-18,-6,85,26,60,1,0,1,0,0,0,0,2,12,0,NORMAL
80,0,0,0,0,0,0,68.0,8,65,-18,-6,85,86,44,1,0,1,0,0,0,17,2,8,0,NORMAL
80,0,0,0,-1,0,0,67.0,8,65,-21,-9,84,225,44,0,1,0,1,0,0,32,2,8,163,NORMAL
80,0,0,0,-1,0,0,67.0,8,65,-21,-9,84,26,60,1,0,1,0,0,0,0,2,12,0,NORMAL
80,0,0,0,-1,0,0,67.0,8,65,-21,-9,84,86,44,1,0,1,0,0,0,73,2,8,0,NORMAL
80,0,0,0,-1,0,0,67.0,9,65,-24,-10,84,225,44,0,1,0,1,0,0,33,2,8,163,NORMAL
80,0,0,0,-1,0,0,67.0,9,65,-24,-10,84,26,60,1,0,1,0,0,0,0,2,12,0,NORMAL
80,0,0,0,-1,0,0,67.0,9,65,-24,-10,84,226,44,0,1,0,1,0,0,34,2,8,164,NORMAL
80,0,0,0,-1,0,0,68.0,9,65,-25,-10,85,26,60,1,0,1,0,0,0,0,2,12,0,NORMAL
80,0,0,0,-1,0,0,68.0,9,65,-25,-10,85,86,44,1,0,1,0,0,0,74,2,8,0,NORMAL
80,0,0,0,-1,0,0,68.0,9,65,-25,-10,85,226,44,0,1,0,1,0,0,35,2,8,164,NORMAL
80,0,0,0,-1,0,0,68.0,10,65,-26,-15,84,26,60,1,0,1,0,0,0,0,2,12,0,NORMAL
80,0,0,0,-1,0,0,68.0,10,65,-26,-15,84,223,44,0,1,0,1,0,0,36,2,8,161,NORMAL
80,0,0,0,-1,0,0,68.0,10,65,-26,-15,84,26,60,1,0,1,0,0,0,0,2,12,0,NORMAL
80,1,0,0,-3,-1,0,68.0,10,65,-25,-11,85,228,44,0,1,0,1,0,0,75,2,8,166,NORMAL
80,1,0,0,-3,-1,0,68.0,10,65,-25,-11,85,26,60,1,0,1,0,0,0,0,2,12,0,NORMAL
80,1,0,0,-3,-1,0,68.0,10,65,-25,-11,85,75,44,0,1,0,1,0,0,76,2,8,13,NORMAL
80,1,0,0,-1,0,0,68.0,11,65,-21,-6,83,227,44,0,1,0,1,0,0,77,2,8,165,NORMAL
80,1,0,0,-1,0,0,68.0,11,65,-21,-6,83,86,44,1,0,1,0,0,0,98,2,8,0,NORMAL
80,1,0,0,-1,0,0,68.0,11,65,-21,-6,83,86,44,1,0,1,0,0,0,98,2,8,0,NORMAL
80,1,0,0,0,0,0,68.0,11,65,-13,-4,82,86,44,1,0,1,0,0,0,98,2,8,0,NORMAL
80,1,0,0,0,0,0,68.0,11,65,-13,-4,82,227,44,0,1,0,1,0,0,78,2,8,165,NORMAL
80,1,0,0,0,0,0,68.0,11,65,-13,-4,82,26,60,1,0,1,0,0,0,0,2,12,0,NORMAL
70,1,0,0,-1,0,0,68.0,12,65,-12,-3,82,228,44,0,1,0,1,0,0,79,2,8,166,NORMAL
70,1,0,0,-1,0,0,68.0,12,65,-12,-3,82,86,44,1,0,1,0,0,0,99,2,8,0,NORMAL
70,1,0,0,-1,0,0,68.0,12,65,-12,-3,82,26,60,1,0,1,0,0,0,0,2,12,0,NORMAL
70,0,0,0,-1,0,0,68.0,12,65,-10,-4,81,74,44,0,1,0,1,0,0,80,2,8,12,NORMAL
70,0,0,0,-1,0,0,68.0,12,65,-10,-4,81,74,44,0,1,0,1,0,0,80,2,8,12,NORMAL
70,0,0,0,-1,0,0,68.0,12,65,-10,-4,81,228,44,0,1,0,1,0,0,81,2,8,166,NORMAL
70,1,0,0,-1,-2,0,68.0,13,65,-7,-4,82,26,60,1,0,1,0,0,0,0,2,12,0,NORMAL
70,1,0,0,-1,-2,0,68.0,13,65,-7,-4,82,98,320,3,1,3,1,0,0,213,0,5,0,NORMAL
70,1,0,0,-1,-2,0,68.0,13,65,-7,-4,82,98,320,3,1,3,1,0,0,215,0,5,0,NORMAL
70,0,0,0,-1,0,0,68.0,13,65,-7,-4,82,98,320,3,1,3,1,0,0,215,0,5,0,NORMAL
70,0,0,0,-1,0,0,68.0,13,65,-7,-4,82,227,44,0,1,0,1,0,0,117,2,8,165,NORMAL
70,0,0,0,-1,0,0,68.0,13,65,-7,-4,82,26,60,1,0,1,0,0,0,0,2,12,0,NORMAL
70,0,0,0,-1,0,0,68.0,14,65,-7,-5,82,86,44,1,0,1,0,0,0,114,2,8,0,NORMAL
